aeronave_id,nombre_aeronave,modelo_aeronave,peso_aeronave,codigo_aeronave
0,Boeing KC-135,Stratotanker,44.663,PMJDMNY
1,Embraer E190,E190-AR,27.853,HEPBRIE
2,Boeing 737,737-800,41.415,VEMIWPS
3,Airbus A380,A380-700,267.0,REBDPFN
4,Boeing 747,747-300,178.1,YSLMIYD
5,Eurocopter EC725,Cougar Mk.II,5.505,HNRJJQB
6,Bombardier Global,Global 8000,24.63,RWDSNHW
7,Boeing C-17,Globemaster III,127.913,LNHBEFA
8,Airbus A380,A380-800,276.0,FSFMKAE
9,Embraer E175,E175-AR,21.906,RHVXKLV
10,Bombardier Global,Global 7500,27.987,WCRZZTI
11,Boeing 747,747-ER,184.6,NLBYLJG
12,Airbus A220,A220-300,37.081,MRUIKBP
13,Boeing 737,737-900ER,44.675,KYKNUTH
14,Boeing 737,737-700,38.15,ECWYCIG
15,Bombardier CRJ,CRJ900,22.48,JQLPBYZ
16,Airbus A380,A380 Prestige,282.0,WRAPXAO
17,Embraer E175,E175-LR,21.886,DTNMCIK
18,Embraer Legacy,Legacy 450,10.425,CZAGBGC
19,Boeing 737,737-400,33.2,ZQZKYVL
20,Boeing 737,737-600,36.38,BQIKFIC
21,Bombardier CRJ,CRJ700,20.509,NEWSDBH
22,Embraer Praetor,Praetor 600,11.503,WYPTNLZ
23,Embraer E190,E190-LR,27.753,CQRMLHT
24,Boeing 747,747-100,162.4,ALYMGWS
25,Embraer Legacy,Legacy 500,10.75,RVWDIMC
26,Embraer Praetor,Praetor 500,10.391,CMUZMTA
27,Embraer Phenom,300E,5.349,GNTSGWH
28,Boeing 747,747-200B,174.0,AMJXYDC
29,Boeing 747,747-400,178.75,HVKSCXU
30,Airbus A380,A380-800F,252.0,PNILCYN
31,Airbus A220,A220-100,35.221,OJFBABA
32,Airbus A350,A350-900,104.6,HTJXZZO
33,Boeing 737,737-500,31.3,KDFWVBZ
34,Boeing 737,737-200,28.12,TPUYDBP
