certificado_id,fecha_habilitacion,fecha_termino,aeronave_id
4459,2022-02-20,2024-02-20,0
4826,2023-02-21,2025-02-20,1
4421,2022-02-20,2024-02-20,2
123,2021-02-19,2023-02-19,3
1989,2023-02-21,2025-02-20,4
1643,2022-02-20,2024-02-20,5
694,2023-02-21,2025-02-20,6
4030,2021-02-19,2023-02-19,7
4278,2022-02-20,2024-02-20,3
2747,2022-02-20,2024-02-20,8
3815,2023-02-21,2025-02-20,9
3295,2022-02-20,2024-02-20,9
1427,2023-02-21,2025-02-20,3
4559,2022-02-20,2024-02-20,10
3506,2023-02-21,2025-02-20,8
487,2021-02-19,2023-02-19,1
62,2022-02-20,2024-02-20,11
2340,2021-02-19,2023-02-19,8
422,2021-02-19,2023-02-19,12
4804,2021-02-19,2023-02-19,11
1145,2023-02-21,2025-02-20,13
1018,2021-02-19,2023-02-19,6
4069,2021-02-19,2023-02-19,14
3236,2022-02-20,2024-02-20,15
2387,2021-02-19,2023-02-19,0
3252,2022-02-20,2024-02-20,16
1086,2023-02-21,2025-02-20,17
4720,2022-02-20,2024-02-20,18
3829,2021-02-19,2023-02-19,19
849,2022-02-20,2024-02-20,20
483,2023-02-21,2025-02-20,11
3678,2022-02-20,2024-02-20,21
4002,2023-02-21,2025-02-20,22
3948,2023-02-21,2025-02-20,7
2780,2023-02-21,2025-02-20,23
3667,2021-02-19,2023-02-19,16
2695,2021-02-19,2023-02-19,24
1220,2023-02-21,2025-02-20,25
1801,2022-02-20,2024-02-20,12
1419,2023-02-21,2025-02-20,5
3225,2023-02-21,2025-02-20,15
1175,2021-02-19,2023-02-19,4
3699,2022-02-20,2024-02-20,19
529,2021-02-19,2023-02-19,18
2853,2023-02-21,2025-02-20,26
848,2022-02-20,2024-02-20,23
3247,2022-02-20,2024-02-20,7
4751,2023-02-21,2025-02-20,27
4079,2022-02-20,2024-02-20,28
4392,2022-02-20,2024-02-20,1
361,2022-02-20,2024-02-20,25
287,2022-02-20,2024-02-20,26
4600,2021-02-19,2023-02-19,13
3596,2021-02-19,2023-02-19,5
532,2023-02-21,2025-02-20,29
4247,2022-02-20,2024-02-20,24
4674,2021-02-19,2023-02-19,30
57,2023-02-21,2025-02-20,24
829,2021-02-19,2023-02-19,31
215,2022-02-20,2024-02-20,13
3802,2022-02-20,2024-02-20,29
2414,2022-02-20,2024-02-20,31
2548,2023-02-21,2025-02-20,21
3989,2021-02-19,2023-02-19,15
3061,2021-02-19,2023-02-19,27
3345,2023-02-21,2025-02-20,0
3256,2022-02-20,2024-02-20,32
217,2021-02-19,2023-02-19,23
817,2023-02-21,2025-02-20,31
1012,2023-02-21,2025-02-20,16
1286,2023-02-21,2025-02-20,2
3471,2023-02-21,2025-02-20,18
1096,2022-02-20,2024-02-20,27
1153,2022-02-20,2024-02-20,30
2573,2023-02-21,2025-02-20,30
4652,2022-02-20,2024-02-20,33
4413,2021-02-19,2023-02-19,22
4306,2023-02-21,2025-02-20,14
4194,2021-02-19,2023-02-19,21
1723,2023-02-21,2025-02-20,19
1809,2023-02-21,2025-02-20,28
4294,2022-02-20,2024-02-20,22
1886,2023-02-21,2025-02-20,12
1652,2021-02-19,2023-02-19,29
186,2022-02-20,2024-02-20,4
3799,2021-02-19,2023-02-19,17
89,2021-02-19,2023-02-19,26
428,2021-02-19,2023-02-19,25
2134,2023-02-21,2025-02-20,34
283,2022-02-20,2024-02-20,17
3209,2021-02-19,2023-02-19,20
206,2023-02-21,2025-02-20,32
3154,2021-02-19,2023-02-19,28
1761,2023-02-21,2025-02-20,10
2722,2021-02-19,2023-02-19,9
4942,2023-02-21,2025-02-20,33
1807,2023-02-21,2025-02-20,20
4060,2022-02-20,2024-02-20,34
1106,2021-02-19,2023-02-19,2
2757,2021-02-19,2023-02-19,32
2369,2022-02-20,2024-02-20,6
372,2021-02-19,2023-02-19,33
3009,2022-02-20,2024-02-20,14
2785,2021-02-19,2023-02-19,34
2169,2021-02-19,2023-02-19,10
